Unit,Node,Pmax,Pmin,b,Co,cvnc,C_start,C_down,Ramp,Cond_I,Pot_Ini,EffiD,Gnode,TminO,TminF,T_ini_Op,T_ini_Fs,CCiclo,Bolsa,Combustible,Forzado,NA,NP,Disp
FENIXCCGT12GAS,Chilca500,287.68368,199,4.526521,137.5319,3.345,4246.369184,4246.369184,500,0,0,0.158686457,Chilca,0,24,6,0,CT-Fenix-Cald12,B_Camisea,GN_Camisea,1,50,50,1
FENIXGT11GAS,Chilca500,190.98275,120,11.181089,137.5319,2.0223,475.3351447,475.3351447,500,0,0,0.205221875,Chilca,0,12,6,0,CT-Fenix-Cald11,B_Camisea,GN_Camisea,0,50,50,1
FENIXCCGT11GAS,Chilca500,287.58031,199,5.239913,137.5319,3.345,4293.395105,4293.395105,500,0,0,0.156684893,Chilca,0,24,6,0,CT-Fenix-Cald11,B_Camisea,GN_Camisea,1,50,50,1
OQUENDTG1_GAS,Ventanilla220,0,0,1.991201,0,0,19.62928947,19.62928947,500,0,0,0.22030976,Ventanilla,2,1.25,6,0,0,B_Camisea,GN_Camisea,1,50,50,1
RECKATG1-D2,Chiclayo220,177.99943,55,3.702903,3452.7828,5.0215,62690.9797,62690.9797,500,0,0,0.054135921,0,2,5,6,0,0,0,D2,0,0,50,1
PTO_BRVOTG3-D2,SanJose500,180.24853,92,2.644739,2519.8674,1.9972,1006.883395,1006.883395,500,0,0,0.058508266,0,2,8,6,0,0,0,D2,0,50,50,1
PTO_BRVOTG1-D2,SanJose500,179.82902,92,2.586336,2519.8674,1.9972,919.2401055,919.2401055,500,0,0,0.059193433,0,2,8,6,0,0,0,D2,0,0,50,1
PTO_BRVOTG4-D2,SanJose500,183.62947,92,2.486375,2519.8674,1.9972,996.5873555,996.5873555,500,0,0,0.060268365,0,2,8,6,0,0,0,D2,0,50,50,1
PTO_BRVOTG2-D2,SanJose500,179.86928,92,2.525051,2519.8674,1.9972,1059.441829,1059.441829,500,0,0,0.060067161,0,2,8,6,0,0,0,D2,0,0,50,1
CTNEPITG43D2,Montalvo500,208.31928,120,4.834368,2629.0194,1.9972,2243.344842,2243.344842,500,0,0,0.046519175,0,2,5,6,0,0,0,D2,0,50,50,1
CTNEPITG42D2,Montalvo500,208.31693,120,4.289728,2629.0194,1.9972,2254.614711,2254.614711,500,0,0,0.049078651,0,2,5,6,0,0,0,D2,0,50,50,1
CTNEPITG41D2,Montalvo500,208.71223,120,4.326535,2629.0194,1.9972,2561.480842,2561.480842,500,0,0,0.049382727,0,2,5,6,0,0,0,D2,0,50,50,1
CHILCA2CCOMBTG41-GAS,ChilcaCTM220,114.04122,67.34,3.749922,137.5455,3.345,4826.486789,4826.486789,500,0,0,0.151285272,Chilca,23,24,6,0,CT-Chilca2,B_Camisea,GN_Camisea,1,50,50,1
CHILCA2TG41-GAS,ChilcaCTM220,76.54709,39.7,6.527853,137.5455,1.9972,109.2266842,109.2266842,500,0,0,0.190300768,Chilca,5,5,6,0,CT-Chilca2,B_Camisea,GN_Camisea,0,50,50,1
CHILINATG-D2,Socabaya220,11.88143,5.5,0.636423,2531.704,1.9972,0.393276316,0.393276316,500,0,0,0.063947774,0,2,4,6,0,0,0,D2,0,0,50,1
STAROSAUTI6-GAS,SantaRosa220,54.97948,32,4.146052,137.5811,1.9972,49.82023684,49.82023684,500,0,0,0.257256198,SantaRosa,6,12,6,0,0,B_Camisea,GN_Camisea,0,50,50,1
STAROSAUTI5-GAS,SantaRosa220,51.22397,32,4.784142,137.5811,1.9972,73.00953945,73.00953945,500,0,0,0.239968085,SantaRosa,6,12,6,0,0,B_Camisea,GN_Camisea,0,50,50,1
STAROSAWESTTG7-GASCONH2O,SantaRosa220,119.53739,65,6.380512,137.5811,2.0223,290.7072105,290.7072105,500,0,0,0.259964535,SantaRosa,23,12,6,0,0,B_Camisea,GN_Camisea,0,50,50,1
STAROSATG8GAS,SantaRosa220,184.90261,100,11.051364,137.5814,2.0223,601.7346185,601.7346185,500,0,0,0.21695287,SantaRosa,23,12,6,0,0,B_Camisea,GN_Camisea,0,50,50,1
OLLEROSCCOMBTG1-GAS,Chilca500,296.31968,211,4.682561,137.5984,3.345,0.010197368,0.010197368,500,0,0,0.169502633,Chilca,20,4,6,0,CT-Olleros,B_Camisea,GN_Camisea,0,50,50,1
LFLORESCCOMBTG1-GAS,ChilcaCTM220,321.9982,175,8.2857895,137.5572,3.345,3547.368,3547.368,500,1,0,0.146958995,Chilca,23,24,6,0,CT-Flores,B_Camisea,GN_Camisea,1,50,50,1
VENT3D2,Ventanilla220,142.44112,75,3.499394,2126.7,2.0223,1976.315789,1976.315789,500,0,0,0.048696044,0,23,0,6,0,CT-Venta-Cald3,0,D2,0,0,50,1
VENT4D2,Ventanilla220,137.82344,75,2.659392,2126.7,2.0223,1481.128947,1481.128947,500,0,0,0.054735726,0,23,0,6,0,CT-Venta-Cald4,0,D2,0,50,50,1
FENIXGT12D2,Chilca500,181.42925,51,3.670323,2558.31,1.9972,0.529355263,0.529355263,500,0,0,0.060398398,0,0,12,6,0,CT-Fenix-Cald12,0,D2,0,0,50,1
FENIXGT11D2,Chilca500,182.1286,51,3.458614,2558.31,1.9972,0.529355263,0.529355263,500,0,0,0.061705015,0,0,12,6,0,CT-Fenix-Cald11,0,D2,0,0,50,1
FENIXCCGT12D2,Chilca500,269.45757,145,1.800734,2558.31,3.345,0.529355263,0.529355263,500,0,0,0.047718348,0,22,23,6,0,CT-Fenix-Cald12,0,D2,0,0,50,1
FENIXCCGT11D2,Chilca500,270.48642,145,1.574612,2558.31,3.345,0.529355263,0.529355263,500,0,0,0.048633676,0,22,23,6,0,CT-Fenix-Cald11,0,D2,0,50,50,1
